,,AMB/92,,,
CODIGO,,DESCRIÇÃO,CH,AUX,PORTE
10014,Consulta Medica (Nao Valido Para Retorno),,80,0,0
20010,Visita Hospitalar (Paciente Internado),,80,0,0
30015,Assistencia Ao Recem-Nascido - (Parto Normal),,240,0,0
30031,Assistencia Ao Recem-Nascido - Pediatra Em Sala,,350,0,0
40010,Plantao de Doze Horas Em UTI- Por Paciente,,300,0,0
40029,UTI Pediatrica E/Ou Neonatal -Plantao de 12 H,,300,0,0
15010015,Dialise Peritonial - (Por Sessao),,300,0,0
15010023,Hemodialise - (Por Sessao),,300,0,0
15010031,Hemoperfusao - (Por Sessao),,300,0,0
15010040,Puncao Biopsia Renal Per Cutanea,,200,0,0
15010058,Hemofiltracao (Por Sessao),,300,0,0
15010066,Plasmaferese - Por Sessao,,300,0,0
15010074,Implante de Cateter Venoso Para Hemodialise,,200,0,0
15020010,Dialise Peritoneal - (Por Sessao),,200,0,0
15020029,Dialise Peritoneal Cronica (Por Mes),,480,0,0
15020037,Hemodialise Cronica (Por Sessao),,200,0,0
15020045,Dialise Peritoneal Ambulatorial Continua (CAPD),,600,0,0
15020053,Dialise Peritoneal Ambulatorial Continua (CAPD),,1800,0,0
15020061,Instalacao Cateter Permanente Para Dialise,,400,0,0
15020070,Retirada de Cateter Tenckhoff,,400,0,0
15030016,Controle Clinico De Transplante Renal,,1500,0,0
15030024,Rejeicao Em Transplante-Tratamento Ambulatorial,,80,0,0
15030032,Rejeicao Em Transplante - Tratamento Internado,,80,0,0
15030040,Seguimento Ambulatorial Pos-Transplante,,80,0,0
15030059,Puncao Aspirativa Renal,,200,0,0
16010019,Bloqueio Anestesico de Nervos Cranianos,,250,0,2
16010027,Bloqueio Anestesico de Plexo Celiaco,,250,0,2
16010035,Bloqueio Anestesico Simpatico Cervico-Toracico,,250,0,2
16010043,Bloqueio Anestesico de Simpatico Lombar,,250,0,2
16010051,Bloqueio Peridural/Subaracnoideo c/ Corticoide,,250,0,2
16010060,Bloqueio de Nervo Periferico,,175,0,1
16010078,Passagem de Cateter Peridural Ou Subaracnoideo,,250,0,2
16010086,Analgesia Por Dia Subsequente,,175,0,1
16010094,Bloqueio Neurolitico de Nervos,,500,0,4
16010108,Bloqueio Neurolitico Peridural/Subaracnoideo,,500,0,4
16010116,Bloqueio Neurolitico do Plexos,,500,0,4
16010124,Anestesia Geral/Condutiva p/ Bloqueio,,500,0,4
16020014,Anestesia P/ Broncografia Unilateral,,370,0,3
16020022,Anestesia P/ Broncografia Bilateral,,750,0,5
16020030,Anestesia P/ Angiografia Carotida Unilateral,,250,0,2
16020049,Anestesia P/ Angiografia Carotida Bilateral,,370,0,3
16020057,Anestesia P/ Angiografia Carotida Unilateral,,370,0,3
16020065,Anestesia P/ Angiografia Carotida Bilateral,,370,0,3
16020073,Anestesia P/ Arteriografia Vertebral,,370,0,3
16020081,Anestesia Para Exame de Arco Aortico e Vasos,,370,0,3
16020090,Anestesia Para Angiografia Medular,,370,0,3
16020103,Anestesia P/ Pneumoencefalo/Ventriculografias,,370,0,3
16020111,Anestesia P/ Mielografia Segmentar,,250,0,2
16020120,Anestesia P/ Pneumomiclografia Segmentar,,370,0,3
16020138,Anestesia P/Exame de Tomografia Computadorizada,,250,0,2
16020146,Anestesia P/ Exames Ultra-Sonograficos,,250,0,2
17010012,Avaliacao Clinica Diaria de Dieta Parenteral,,200,0,0
17010020,Avaliacao Clinica Diaria de Dieta Enteral,,100,0,0
17010039,Disseccao P/ Acesso A Circulacao Venosa Central,,150,0,0
17010047,Colocacao de Sonda Naso-Duodenal,,100,0,0
17010055,AVAL.CLIN.DIARIA PARENT.ENTER.,,250,0,0
19010010,Honorarios de Aplicacoes de Hipossensibilizante,,4,0,0
19010028,Exercicios Para Reabilitacao do Asmatico:Aulas,,30,0,0
19010036,Exercicios Para Reabilitacao do Asmatico:Aulas,,15,0,0
19010044,Hipossensibilizacao (30 Dias ou 10 Aplicacoes),,40,0,0
19010052,Hipossensibilizacao (30 Dias ou 10 Aplicacoes),,40,0,0
19010060,Hipossensibilizacao (30 Dias ou 10 Aplicacoes),,40,0,0
19010079,Provas Imuno-Alergicas Bacterianas,,60,0,0
19010095,Provas de Provocacao - P/ Prova,,60,0,0
19010109,Provas de Prausnitz-Kustner - P/ Prova,,60,0,0
19010117,Testes Cutaneos de Leitura Imediata,,60,0,0
19010125,Testes de Contato (Ate 15 Substancias),,60,0,0
19010133,Testes de Contato (Por Substancia Acima de 10),,4,0,0
19010141,Testes de Contato C/ Fotossensibilizacao-Ate 10,,100,0,0
19010150,Teste Contato C/Fotossensibilizacao (Por Cada),,7,0,0
19010168,"Testes Imuno-Alergicos ""In Vitro""",,120,0,0
20010010,Eletrocardiograma - ECG,,60,0,0
20010028,Teste Ergometrico - Em Bicicleta Ou Em Esteira,,220,0,0
20010044,Monotorizacao Eletrocardiografica Programada,,100,0,0
20010052,Sistema Holter - 24 Horas - 2 Canais,,350,0,0
20010079,Sistema Holter - 12 Horas - 2 Canais,,280,0,0
20010095,Ecocardiograma Unidimensional,,150,0,0
20010109,Ecocardiograma Bidimensional,,220,0,0
20010117,Fonomecanocardiografia Em Papel Fotografico,,100,0,0
20010125,Vectocardiograma Em Papel Fotografico,,100,0,0
20010133,Ecocardiografia Bidimensional Com Dopler,,380,0,0
20010141,Ecocardiografia Bidimensional Mapeamento Fluxo,,500,0,0
20010150,Ecodoppler Esfoço ou Stress Farmacológico,,760,0,0
20010168,Ecodoppler de Carótidas,,380,0,0
20010176,Ecodoppler Vertebral ou Vascular Periférico,,380,0,0
20010184,Ecodoppler de Carótidas com Mapeamento de Fluxo á Cores,,500,0,0
20010192,Ecodoppler Fetal,,680,0,0
20010206,Ecodoppler Fetal com Mapeamento de Fluxo á Cores,,800,0,0
20010214,Ecodoppler Transesofágico,,1100,0,0
20010222,Ecodoppler Transesofágico Epicárdico,,1000,0,0
20010230,Ecodoppler Transesofágico Esofágico,,2200,0,0
20020015,Avaliacao Clinica Cardioversao Eletrica Eletiva,,200,0,0
20020023,Marcapasso Temporario A Beira do Leito,,250,0,0
20020031,Monotorizacao Per Operatoria Em Cirurgia Geral,,100,0,0
20020040,Monotorizacao Per Operatoria Em Cirurgia Geral,,50,0,0
20020058,Monitorização Ambulatorial de Pressão Arterial - 24 horas,,350,0,0
20020066,Cárdio-Estimulação Transesofágica (CETE) Terapêutica ou D,,300,0,0
21010013,Exame Anatomo Patologico Per-Operatorio,,220,0,0
21010021,Exame Anatomo Patologico de Peca Radical,,140,0,0
21010030,Exame Anatomo Patologico de Peca Cirurgica,,120,0,0
21010048,Exame Citopatologico Oncotico de Liquidos,,100,0,0
21010056,Papanicolau - Citopatologico Cervico-Vaginal,,70,0,0
21010064,Exame Citopatologico Hormonal Seriado,,140,0,0
21010072,Necropsia de Adultos e Criancas,,1100,0,0
21010080,Necropsia de Feto e Exame de Placenta,,800,0,0
21010099,Revisao de Lamina Em Anatomia Patologica,,140,0,0
21010145,Exame Citopatologico Hormonal Isolado,,65,0,0
21010153,Imunoperoxidase (Por Anticorpo Primario),,500,0,0
21010161,COL.PUNC.BIOP.ASP.ESTRUT.CUTANEAS,,80,0,0
21010170,COL.PUNC.BIOP.ASP.EST.SUPERFIC,,120,0,0
21010188,COLET.PUNC.BIOP.ASP.EST.PROFUND.,,220,0,0
21010196,HIBRIDIZACAO MOLECULAR,,600,0,0
22010017,Eletroencefalograma (Em Vigilia),,120,0,0
22010025,Eletroencefalograma Com Foto Estimulo,,140,0,0
22010033,Eletroencefalograma Com Compressao Carotidea,,180,0,0
22010041,Eletroencefalograma Esfenoidal Ou Naso-Faringeo,,240,0,0
22010050,Eletroencefalograma Em Sono e Vigilia,,240,0,0
22010068,Ecoencefalograma,,90,0,0
22010106,Potencial Evocado Visual,,300,0,0
22010114,Potencial Evocado Auditivo,,250,0,0
22010122,Potencial Evocado Somato-Sensitivo,,250,0,0
22010130,Eletroneuromiografia,,300,0,0
22010149,POLISSONOGRAFIA,,1000,0,0
22010157,ELETROENC.PROLONGADO POR HORA,,320,0,0
22010165,POTENC.EVOC.SOMATO-SENSITIVO,,250,0,0
22010173,POTENC.EVOC.GENITO CORTICAL,,250,0,0
22010181,ESTUDO P - 300,,500,0,0
22010190,MAPEAM.CEREBRAL C/POTENC.EVOC.,,700,0,0
23010010,Colangiopancreatografia Retrograda,,650,0,0
23010029,Colonoscopia,,650,0,1
23010037,Endoscopia Digestiva Alta:Esofagogastroduodeno,,240,0,0
23010045,Laparoscopia,,300,0,0
23010053,Retossigmoidoscopia Rigida,,150,0,0
23010061,Retossigmoidoscopia Flexivel,,200,0,0
23020016,Colocacao Proteses Coledocianas Via Endoscopica,,1300,1,0
